City,Lat,Lng,Max temp,Humidity,Cloudiness,Wind Speed,Country,Date
Uberaba,-19.75,-47.93,27.26,28,0,4.18,BR,1601600103
Ushuaia,-54.8,-68.3,-1.0,92,75,9.3,AR,1601600088
Qaanaaq,77.48,-69.36,-9.85,79,82,2.24,GL,1601600143
Port Alfred,-33.59,26.89,14.3,71,97,9.08,ZA,1601600138
Albany,42.6,-73.97,12.78,70,23,1.81,US,1601600137
Longyearbyen,78.22,15.64,0.0,95,75,1.0,SJ,1601600109
Kalmunai,7.42,81.82,26.07,75,100,1.5,LK,1601600297
Upernavik,72.79,-56.15,-5.43,90,0,7.42,GL,1601600138
Lebu,-37.62,-73.65,7.99,83,1,3.8,CL,1601600299
Mogadishu,2.04,45.34,25.47,85,100,6.44,SO,1601600216
East London,-33.02,27.91,14.7,73,100,7.14,ZA,1601600248
Jamestown,42.1,-79.24,9.44,87,90,2.6,US,1601599997
Hermanus,-34.42,19.23,12.78,78,40,3.13,ZA,1601600151
Gaoual,11.75,-13.2,24.09,93,100,1.73,GN,1601600301
Atar,20.52,-13.05,32.84,20,0,5.03,MR,1601600302
Gamba,-2.65,10.0,23.88,80,99,2.3,GA,1601600304
Bredasdorp,-34.53,20.04,14.0,67,100,7.7,ZA,1601600305
Malakal,9.53,31.66,22.1,86,16,0.87,SS,1601600221
Yasnyy,51.03,59.87,6.34,57,0,2.91,RU,1601600306
Port Elizabeth,-33.92,25.57,15.0,58,90,7.7,ZA,1601599901
Dikson,73.51,80.55,1.83,83,96,9.01,RU,1601600136
Roald,62.58,6.13,16.0,44,93,7.7,NO,1601600308
Kousséri,12.08,15.03,27.0,88,58,2.1,CM,1601600310
Talcahuano,-36.72,-73.12,10.0,76,0,4.6,CL,1601600310
Turukhansk,65.82,87.98,3.03,96,100,6.87,RU,1601600312
Sisimiut,66.94,-53.67,-0.27,81,100,2.51,GL,1601600312
Busselton,-33.65,115.33,13.33,69,79,6.17,AU,1601600146
Dondo,-19.61,34.74,20.46,97,21,1.27,MZ,1601600313
Cecina,43.31,10.52,17.22,10,71,6.84,IT,1601600314
Prieska,-29.66,22.75,8.5,55,0,1.11,ZA,1601600315
Orcopampa,-15.27,-72.34,7.62,65,100,0.84,PE,1601600315
Santa Maria,-29.68,-53.81,23.96,85,94,1.78,BR,1601600035
Cape Town,-33.93,18.42,14.44,58,20,10.8,ZA,1601600170
Mehamn,71.04,27.85,6.86,86,89,2.23,NO,1601600317
Bagan,54.1,77.66,7.95,80,100,2.75,RU,1601600318
Pimenta Bueno,-11.67,-61.19,25.32,71,75,1.8,BR,1601600318
Vilkaviškis,54.65,23.03,11.1,80,7,5.03,LT,1601600319
Deoraniān,28.63,79.48,22.3,81,0,0.52,IN,1601600320
Dingle,11.0,122.67,28.73,78,76,2.09,PH,1601600156
Hukeri,16.23,74.6,21.0,94,40,1.98,IN,1601600321
Corinth,37.94,22.96,17.22,59,65,0.89,GR,1601600321
High Rock,26.62,-78.28,25.0,94,75,2.1,BS,1601600323
Farafangana,-22.82,47.83,20.79,92,5,0.85,MG,1601600323
Arraial do Cabo,-22.97,-42.03,23.59,85,0,11.53,BR,1601600176
Geraldton,-28.77,114.6,17.0,72,75,3.1,AU,1601600324
Husavik,66.04,-17.34,-3.0,86,0,2.6,IS,1601600135
Salalah,17.02,54.09,24.0,83,75,1.0,OM,1601600326
Antalaha,-14.9,50.28,20.63,93,14,1.7,MG,1601600326
Ponta do Sol,32.67,-17.1,21.0,68,75,1.5,PT,1601600327
